TIMESTAMP: 10.600000, X: 5.354848, Y: 11.413170, Z: -5.662260, PITCH: 0.650324, YAW: -1.976145
TIMESTAMP: 10.700000, X: 5.442724, Y: 11.386937, Z: -5.612271, PITCH: 0.644494, YAW: -1.983623
TIMESTAMP: 10.800000, X: 5.532130, Y: 11.354988, Z: -5.557173, PITCH: 0.638928, YAW: -1.991338
TIMESTAMP: 10.900000, X: 5.623021, Y: 11.317515, Z: -5.497036, PITCH: 0.633405, YAW: -1.999092
TIMESTAMP: 11.000000, X: 5.715349, Y: 11.274726, Z: -5.431945, PITCH: 0.627742, YAW: -2.006720
TIMESTAMP: 11.100000, X: 5.809063, Y: 11.226840, Z: -5.361992, PITCH: 0.622055, YAW: -2.014326
TIMESTAMP: 11.200000, X: 5.904109, Y: 11.174088, Z: -5.287284, PITCH: 0.616443, YAW: -2.022001
TIMESTAMP: 11.300000, X: 6.000432, Y: 11.116714, Z: -5.207934, PITCH: 0.610844, YAW: -2.029687
TIMESTAMP: 11.400000, X: 6.097972, Y: 11.054966, Z: -5.124066, PITCH: 0.605205, YAW: -2.037336
TIMESTAMP: 11.500000, X: 6.196669, Y: 10.989104, Z: -5.035813, PITCH: 0.599559, YAW: -2.044979
TIMESTAMP: 11.600000, X: 6.296463, Y: 10.919393, Z: -4.943318, PITCH: 0.593934, YAW: -2.052642
TIMESTAMP: 11.700000, X: 6.397291, Y: 10.846103, Z: -4.846728, PITCH: 0.588313, YAW: -2.060308
TIMESTAMP: 11.800000, X: 6.499092, Y: 10.769508, Z: -4.746202, PITCH: 0.582681, YAW: -2.067964
TIMESTAMP: 11.900000, X: 6.601803, Y: 10.689884, Z: -4.641902, PITCH: 0.577047, YAW: -2.075617
TIMESTAMP: 12.000000, X: 6.705362, Y: 10.607508, Z: -4.533998, PITCH: 0.571419, YAW: -2.083277
TIMESTAMP: 12.100000, X: 6.809709, Y: 10.522658, Z: -4.422665, PITCH: 0.565791, YAW: -2.090938
TIMESTAMP: 12.200000, X: 6.914785, Y: 10.435608, Z: -4.308083, PITCH: 0.560160, YAW: -2.098595
TIMESTAMP: 12.300000, X: 7.020533, Y: 10.346630, Z: -4.190436, PITCH: 0.554531, YAW: -2.106251
TIMESTAMP: 12.400000, X: 7.126897, Y: 10.255993, Z: -4.069912, PITCH: 0.548901, YAW: -2.113909
TIMESTAMP: 12.500000, X: 7.233824, Y: 10.163959, Z: -3.946701, PITCH: 0.543270, YAW: -2.121571
TIMESTAMP: 12.600000, X: 7.341267, Y: 10.070782, Z: -3.820997, PITCH: 0.537640, YAW: -2.129229
TIMESTAMP: 12.700000, X: 7.449177, Y: 9.976710, Z: -3.692993, PITCH: 0.532015, YAW: -2.136880
TIMESTAMP: 12.800000, X: 7.557514, Y: 9.881981, Z: -3.562885, PITCH: 0.526385, YAW: -2.144539
TIMESTAMP: 12.900000, X: 7.666240, Y: 9.786822, Z: -3.430868, PITCH: 0.520746, YAW: -2.152210
TIMESTAMP: 13.000000, X: 7.775319, Y: 9.691448, Z: -3.297138, PITCH: 0.515118, YAW: -2.159866
TIMESTAMP: 13.100000, X: 7.884723, Y: 9.596064, Z: -3.161889, PITCH: 0.509505, YAW: -2.167502
TIMESTAMP: 13.200000, X: 7.994428, Y: 9.500858, Z: -3.025313, PITCH: 0.503873, YAW: -2.175163
TIMESTAMP: 13.300000, X: 8.104414, Y: 9.406008, Z: -2.887601, PITCH: 0.498212, YAW: -2.182863
TIMESTAMP: 13.400000, X: 8.214666, Y: 9.311673, Z: -2.748941, PITCH: 0.492587, YAW: -2.190516
TIMESTAMP: 13.500000, X: 8.325178, Y: 9.217999, Z: -2.609516, PITCH: 0.487016, YAW: -2.198093
TIMESTAMP: 13.600000, X: 8.435943, Y: 9.125115, Z: -2.469508, PITCH: 0.481379, YAW: -2.205762
TIMESTAMP: 13.700000, X: 8.546966, Y: 9.033132, Z: -2.329091, PITCH: 0.475633, YAW: -2.213578
TIMESTAMP: 13.800000, X: 8.658253, Y: 8.942146, Z: -2.188437, PITCH: 0.470013, YAW: -2.221222
TIMESTAMP: 13.900000, X: 8.769818, Y: 8.852233, Z: -2.047711, PITCH: 0.464659, YAW: -2.228506
TIMESTAMP: 14.000000, X: 8.881679, Y: 8.763456, Z: -1.907072, PITCH: 0.459134, YAW: -2.236022
TIMESTAMP: 14.100000, X: 8.993859, Y: 8.675855, Z: -1.766676, PITCH: 0.452795, YAW: -2.244644
TIMESTAMP: 14.200000, X: 9.106387, Y: 8.589456, Z: -1.626667, PITCH: 0.445627, YAW: -2.254396
TIMESTAMP: 14.300000, X: 9.219296, Y: 8.504268, Z: -1.487186, PITCH: 0.438259, YAW: -2.264419
TIMESTAMP: 14.400000, X: 9.332624, Y: 8.420281, Z: -1.348365, PITCH: 0.431129, YAW: -2.274117
TIMESTAMP: 14.500000, X: 9.446413, Y: 8.337472, Z: -1.210330, PITCH: 0.424108, YAW: -2.283669
TIMESTAMP: 14.600000, X: 9.560707, Y: 8.255798, Z: -1.073198, PITCH: 0.416976, YAW: -2.293370
TIMESTAMP: 14.700000, X: 9.675556, Y: 8.175207, Z: -0.937078, PITCH: 0.409786, YAW: -2.303150
TIMESTAMP: 14.800000, X: 9.791010, Y: 8.095627, Z: -0.802071, PITCH: 0.402654, YAW: -2.312852
